task,model,n,mean,std,pct_ge45
automatic_grading,deepseek-r1,132,4.4091,0.8192,64.3939
automatic_grading,deepseek-v3,126,4.1878,0.7939,40.4762
automatic_grading,qwen-max,127,4.147,0.8096,39.3701
automatic_grading,qwen2.5-14b-instruct,117,4.0456,0.7986,33.3333
automatic_grading,qwen2.5-7b-instruct,126,3.6905,1.1157,27.7778
error_correction,deepseek-r1,151,4.6071,0.766,80.7947
error_correction,deepseek-v3,147,4.3696,0.845,58.5034
error_correction,qwen-max,152,4.375,0.7976,60.5263
error_correction,qwen2.5-14b-instruct,148,4.1914,0.8007,46.6216
error_correction,qwen2.5-7b-instruct,152,4.2697,0.6913,48.0263
idea_provision,deepseek-r1,176,4.6686,0.6527,84.6591
idea_provision,deepseek-v3,171,4.4172,0.6946,59.0643
idea_provision,qwen-max,172,4.4535,0.6694,57.5581
idea_provision,qwen2.5-14b-instruct,172,4.1453,0.658,36.6279
idea_provision,qwen2.5-7b-instruct,172,4.3295,0.6734,52.3256
personalized_content_creation,deepseek-r1,66,4.9545,0.1153,100.0
personalized_content_creation,deepseek-v3,66,3.9394,0.5324,13.6364
personalized_content_creation,qwen-max,66,4.6061,0.4089,69.697
personalized_content_creation,qwen2.5-14b-instruct,66,3.9949,0.4548,6.0606
personalized_content_creation,qwen2.5-7b-instruct,66,4.101,0.3743,13.6364
personalized_learning_support,deepseek-r1,110,4.8545,0.2691,92.7273
personalized_learning_support,deepseek-v3,107,4.1495,0.5612,28.972
personalized_learning_support,qwen-max,109,4.3486,0.4915,44.9541
personalized_learning_support,qwen2.5-14b-instruct,108,3.8981,0.5458,16.6667
personalized_learning_support,qwen2.5-7b-instruct,108,4.0463,0.7008,32.4074
problem_solving,deepseek-r1,88,4.0265,1.4135,70.4545
problem_solving,deepseek-v3,88,4.0682,1.4588,68.1818
problem_solving,qwen-max,88,4.2197,1.3149,73.8636
problem_solving,qwen2.5-14b-instruct,92,4.2174,1.2871,71.7391
problem_solving,qwen2.5-7b-instruct,88,3.75,1.5215,54.5455
psychological_support,deepseek-r1,110,4.8545,0.3178,92.7273
psychological_support,deepseek-v3,109,4.4465,0.4741,52.2936
psychological_support,qwen-max,110,4.4182,0.5196,51.8182
psychological_support,qwen2.5-14b-instruct,110,4.0333,0.7322,36.3636
psychological_support,qwen2.5-7b-instruct,110,4.2939,0.5653,47.2727
question_generation,deepseek-r1,132,4.6389,0.5955,78.0303
question_generation,deepseek-v3,132,4.3157,0.8106,56.0606
question_generation,qwen-max,132,4.5556,0.582,71.9697
question_generation,qwen2.5-14b-instruct,132,4.303,0.657,43.9394
question_generation,qwen2.5-7b-instruct,132,4.1338,0.7423,39.3939
teaching_material_generation,deepseek-r1,154,4.7532,0.351,88.3117
teaching_material_generation,deepseek-v3,154,4.2468,0.4538,28.5714
teaching_material_generation,qwen-max,154,4.4394,0.4064,48.0519
teaching_material_generation,qwen2.5-14b-instruct,154,4.2165,0.5078,29.8701
teaching_material_generation,qwen2.5-7b-instruct,154,4.3701,0.4321,40.9091
