task,evaluator,n,mae_to_human_mean,signed_bias_vs_human_mean,exact_match_rate
automatic_grading,EduBenchEvaluator,628,0.8063,0.7521,0.4634
automatic_grading,deepseek-r1,628,0.8949,-0.0138,0.4713
automatic_grading,deepseek-v3,620,1.1828,-0.2473,0.4613
automatic_grading,gpt-4o,547,0.7910,0.3608,0.4918
automatic_grading,qwq-plus,587,0.8705,0.1459,0.4872
error_correction,EduBenchEvaluator,750,0.3893,0.2889,0.7307
error_correction,deepseek-r1,750,0.5227,0.1822,0.6120
error_correction,deepseek-v3,750,0.5160,0.3729,0.6133
error_correction,gpt-4o,729,0.5322,0.3685,0.5816
error_correction,qwq-plus,741,0.4926,0.2677,0.6437
idea_provision,EduBenchEvaluator,863,0.4249,0.2935,0.7242
idea_provision,deepseek-r1,863,0.5407,0.0780,0.5991
idea_provision,deepseek-v3,863,0.4565,0.1499,0.6338
idea_provision,gpt-4o,857,0.4656,0.2306,0.6418
idea_provision,qwq-plus,851,0.5597,0.1171,0.6122
personalized_content_creation,EduBenchEvaluator,330,0.3000,0.1263,0.7970
personalized_content_creation,deepseek-r1,330,0.5939,0.4747,0.4879
personalized_content_creation,deepseek-v3,330,0.5939,0.5354,0.4909
personalized_content_creation,gpt-4o,330,0.6172,0.5202,0.4576
personalized_content_creation,qwq-plus,330,0.5768,0.5141,0.5061
personalized_learning_support,EduBenchEvaluator,542,0.3383,0.1328,0.7472
personalized_learning_support,deepseek-r1,542,0.5935,0.4889,0.4982
personalized_learning_support,deepseek-v3,542,0.6064,0.5535,0.5074
personalized_learning_support,gpt-4o,535,0.6816,0.6579,0.4598
personalized_learning_support,qwq-plus,539,0.6079,0.5671,0.5158
problem_solving,EduBenchEvaluator,444,0.6096,0.3589,0.6757
problem_solving,deepseek-r1,444,0.9347,0.6224,0.6622
problem_solving,deepseek-v3,444,0.9722,0.7125,0.6644
problem_solving,gpt-4o,444,0.9002,0.8026,0.6757
problem_solving,qwq-plus,444,1.0098,0.7980,0.6509
psychological_support,EduBenchEvaluator,549,0.3097,0.1627,0.8087
psychological_support,deepseek-r1,549,0.4961,0.3685,0.5920
psychological_support,deepseek-v3,549,0.4894,0.4614,0.6248
psychological_support,gpt-4o,529,0.5520,0.4486,0.5614
psychological_support,qwq-plus,534,0.5406,0.4956,0.5918
question_generation,EduBenchEvaluator,660,0.4545,0.3091,0.6818
question_generation,deepseek-r1,660,0.4727,0.0788,0.6333
question_generation,deepseek-v3,660,0.4323,0.3515,0.6667
question_generation,gpt-4o,656,0.4609,0.3166,0.6250
question_generation,qwq-plus,650,0.4672,0.0415,0.6477
teaching_material_generation,EduBenchEvaluator,770,0.3597,0.1052,0.7532
teaching_material_generation,deepseek-r1,770,0.5316,0.4026,0.5364
teaching_material_generation,deepseek-v3,770,0.5489,0.5169,0.5195
teaching_material_generation,gpt-4o,770,0.5113,0.4403,0.5636
teaching_material_generation,qwq-plus,770,0.4978,0.4442,0.5662
