evaluator,binned_agreement,n,human_bin
EduBenchEvaluator,0.8972,2218,
EduBenchEvaluator,0.404,99,low
EduBenchEvaluator,0.2113,194,mid
EduBenchEvaluator,0.9917,1925,high
deepseek-r1,0.8544,2218,
deepseek-r1,0.0909,99,low
deepseek-r1,0.1804,194,mid
deepseek-r1,0.9616,1925,high
deepseek-v3,0.8674,2218,
deepseek-v3,0.0404,99,low
deepseek-v3,0.0412,194,mid
deepseek-v3,0.9932,1925,high
gpt-4o,0.8682,2192,
gpt-4o,0.0,99,low
gpt-4o,0.0585,188,mid
gpt-4o,0.9932,1905,high
qwq-plus,0.8602,2196,
qwq-plus,0.0825,97,low
qwq-plus,0.1632,190,mid
qwq-plus,0.9691,1909,high
