task,language,n,human_mean_score,human_score_std
automatic_grading,en,324,4.2613,0.8061
automatic_grading,zh,304,3.9276,0.9703
error_correction,en,379,4.2999,0.9234
error_correction,zh,371,4.4277,0.6214
idea_provision,en,424,4.3105,0.8138
idea_provision,zh,439,4.4943,0.5271
personalized_content_creation,en,165,4.4202,0.5202
personalized_content_creation,zh,165,4.2182,0.5845
personalized_learning_support,en,275,4.4727,0.4811
personalized_learning_support,zh,267,4.0449,0.6800
problem_solving,en,224,4.0863,1.3724
problem_solving,zh,220,4.0288,1.4340
psychological_support,en,275,4.7127,0.3743
psychological_support,zh,274,4.1046,0.6269
question_generation,en,330,4.3192,0.7848
question_generation,zh,330,4.4596,0.6063
teaching_material_generation,en,385,4.4840,0.4594
teaching_material_generation,zh,385,4.3264,0.4726
