task,avg_human_mean,n,question_preview
problem_solving,4.9333,20,"Subject:Theoretical Economics Education Level:Undergraduate Question:What is the Nash Equilibrium in a game theory context, and how can it be identified in a simple two-player game? . Please generate the corresponding answer based on the qu"
psychological_support,4.9067,25,"Anxiety Level: Moderate Anxiety Dialogue with Student: [""Student: Hi, I'm feeling quite overwhelmed with my PhD in Automation."", ""Agent: I'm sorry to hear that. Can you tell me more about what's causing you to feel overwhelmed?"", ""Student: "
psychological_support,4.8933,25,"Anxiety Level: Mild Anxiety Dialogue with Student: [""Agent: Hi there! How's your day going?"", ""Student: It's okay, I guess. I'm just feeling a little worried about my Chemistry homework."", ""Agent: I'm sorry to hear that. What is it about th"
psychological_support,4.8800,25,"Anxiety Level: Mild Anxiety Dialogue with Student: Agent: Hi there! How's your Chinese study going today? Student: Hi... It's going okay, I guess. Agent: Just okay? Is there something that's bothering you? Student: Well, I'm feeling a bit a"
psychological_support,4.8533,25,"Anxiety Level: Mild Anxiety Dialogue with Student: [{'Agent': 'Hi there! How are you feeling today?'}, {'Student': ""Hey, I'm feeling a bit anxious, honestly. There's just so much to keep up with in my Clinical Medicine program.""}, {'Agent':"
automatic_grading,4.8333,30,"Question: True or False: The sum of the interior angles of a triangle is 180 degrees. Student's Answer: True Please provide ""Score"", ""Scoring Details"", and ""Personalized Feedback"" based on the question and student's answer, in JSON format."
idea_provision,4.8241,36,"Question: Which of the following principles is central to the concept of New Public Management (NPM)?  Please provide reasoning based on this question. Do not provide the answer directly.. ""Reasoning Provided"":, return in JSON format"
personalized_learning_support,4.8133,25,"Student Profile: Student Profile: {'Name': 'Alex Johnson', 'Age': 20, 'Year': 'Sophomore', 'Interests': ['Behavioral Economics', 'Game Theory', 'Microeconomics'], 'Strengths': ['Analytical thinking', 'Mathematical modeling'], 'Areas for Imp"
idea_provision,4.7917,40,问题：以下哪句话使用了正确的时态来描述过去的习惯行为？ A) I am reading books every night when I was a child. B) I used to read books every night when I was a child. C) I have read books every night when I was a child. D) I was read books every night when I was a chil
personalized_content_creation,4.7556,15,"{'Name': 'Alex Johnson', 'Age': 19, 'Current Education Level': 'Undergraduate, Year 1', 'Current Skill Level': 'Introductory Physics', 'Learning Goals': 'To gain a comprehensive understanding of classical mechanics and prepare for advanced "
psychological_support,4.7467,25,"Anxiety Level: Moderate Anxiety Dialogue with Student: [{'Agent': 'Hi there! How are you feeling about your History studies today?'}, {'Student': 'Hey, I’m feeling a bit anxious, to be honest. There’s just so much to remember, and I’m worri"
idea_provision,4.7333,40,"问题：在细胞凋亡过程中，线粒体释放的细胞色素c（cytochrome c）如何影响下游的凋亡信号通路？  请根据这个问题提供思路。""提供的思路"":,以json格式返回"
automatic_grading,4.7222,30,"Question: Which of the following is an adjective? A) Run B) Quickly C) Happy D) Jump Student's Answer: B) Quickly Please provide ""Score"", ""Scoring Details"", and ""Personalized Feedback"" based on the question and student's answer, in JSON for"
personalized_learning_support,4.7067,25,"Student Profile: Student Profile: {'Name': 'Alex Johnson', 'Age': 20, 'Year': 'Junior', 'Background': 'Strong interest in social justice and community engagement, prefers hands-on learning experiences.', 'Learning Style': 'Kinesthetic and v"
error_correction,4.6961,34,"Question: Which of the following paintings is attributed to Vincent van Gogh? Original Answer: The Persistence of Memory You are providing error-correction services for the student's response. Based on this question and the original answer,"
