task,avg_human_mean,n,question_preview
error_correction,2.2571,35,Question: Which of the following is a primary role of a marketing manager in an organization? Original Answer: Managing the financial accounts of the organization. You are providing error-correction services for the student's response. Base
automatic_grading,3.2143,28,"问题：在神经生理学中，动作电位的过程中不包括以下哪一个步骤？ A) 去极化 B) 再极化 C) 超极化 D) 钙离子流入细胞 学生的答案：C) 超极化 请根据问题和学生答案给出""评分"":""评分细节"":""个性化反馈"":,以json格式返回"
problem_solving,3.2167,20,"Subject:History Education Level:PhD Question:Which of the following historians is best known for pioneering the Annales School of historical writing, which emphasized long-term social history?  A) Marc Bloch  B) E. H. Carr  C) Leopold von R"
problem_solving,3.4667,20,"Subject:Mathematics Education Level:PhD Question:In the context of complex analysis, consider the function f(z) = z^2 + 1. Which of the following statements is true regarding its singularities? A) f(z) has no singularities. B) f(z) has a re"
automatic_grading,3.5222,30,"问题：选择以下具有微分同胚性质的函数类别：（可多选） A. 二次多项式函数 B. 余弦函数 C. 指数函数 D. 常数函数 E. 三次多项式函数 学生的答案：['C', 'E'] 请根据问题和学生答案给出""评分"":""评分细节"":""个性化反馈"":,以json格式返回"
idea_provision,3.5917,40,"Question: Explain how Porter's Five Forces framework can be used to analyze the competitive environment of an industry.  Please provide reasoning based on this question. Do not provide the answer directly.. ""Reasoning Provided"":, return in "
automatic_grading,3.6212,22,问题：解释为什么基因编辑技术可以用于提高作物抗病能力，并举例说明一个成功的应用案例。 学生的答案：基因编辑技术通过精确修改作物的基因组，可以提高抗病能力。CRISPR-Cas9是一种常用的基因编辑工具，通过识别和切割特定的DNA序列，使科研人员能够插入、删除或替换疾病相关的基因，从而增强植物的免疫反应。一个成功的应用案例是基因编辑改善水稻对稻瘟病的抵抗力，这是一种由真菌引起的毁灭性疾病。科学家利用CRISPR-Cas9编辑OsSWEET13基因，从而阻止病原体破坏水稻细胞的糖
problem_solving,3.6833,20,"学科:法学 学制级别:博士 问题：在国际法中，以下哪一个原则主要用于解决国家之间的领土争端？ A. 不干涉内政原则 B. 自决原则 C. 先占原则 D. 互惠原则 .请根据问题生成对应的答案。""答案"":,以json格式返回"
problem_solving,3.7167,20,"学科:地理 学制级别:初中 问题：以下哪些国家位于非洲？ A. 埃及 B. 巴西 C. 尼日利亚 D. 日本 E. 南非 .请根据问题生成对应的答案。""答案"":,以json格式返回"
automatic_grading,3.7333,30,Question: Explain the significance of the Mid-Autumn Festival in Chinese culture. Student's Answer: The Mid-Autumn Festival is an important holiday in China. It is also called the Moon Festival and is celebrated on the 15th day of the 8th m
psychological_support,3.7467,25,"焦虑级别：轻度焦虑 对话内容：[{'学生': '我最近感觉有些焦虑，面对博士阶段的学习压力，有些时候会觉得吃力。'}, {'智能体': '我理解，这么高强度的课程和研究任务，难免会让人感到压力重重。你有没有哪些具体方面觉得特别挑战呢？'}, {'学生': '主要是我在实验设计和数据分析上有时候感到不太自信，担心自己的研究不能达到预期效果。'}, {'智能体': '这些感觉是很正常的，因为博士阶段的学习本身就涉及很多未知和不确定性。你做得很好，能够意识到自己在这些方面有不自信。"
problem_solving,3.7833,20,"学科:计算机科学 学制级别:大学 问题：以下哪种排序算法的平均时间复杂度为O(n log n)？ A) 冒泡排序 B) 插入排序 C) 选择排序 D) 归并排序 .请根据问题生成对应的答案。""答案"":,以json格式返回"
personalized_learning_support,3.7867,25,"学生画像：学生的画像：{'姓名': '李华', '年龄': 26, '专业背景': '计算机科学本科', '兴趣方向': '人工智能和机器学习', '学习风格': '偏向实践，喜欢通过项目学习', '知识基础': '数据结构和算法非常扎实，但对深度学习刚刚入门', '个性特点': '积极主动，需要适度的挑战才能保持学习动力'} 请根据学生画像，为每位学生生成 ‘个性化的学习内容或任务’:,以json格式返回"
psychological_support,3.8000,25,"焦虑级别：重度焦虑 对话内容：['学生: 最近我真的很难过，我觉得基础医学的课程太难了，考试压力让我喘不过气来。', '智能体: 我明白你的感受，这是一个很大的挑战。你认为是哪些方面的事情让你感到特别焦虑呢？', '学生: 我觉得学习的内容太多了，而且好像怎么学都不够。总担心自己考不好，会让家里人失望。', '智能体: 这样的担忧听起来确实让人感到压力很大。或许我们可以一起探讨一些方法来帮助你处理这些焦虑呢？'] 请根据学生情绪状态和对话给出""情绪状态分析"":和""安慰与建议"""
personalized_content_creation,3.8222,15,"{'姓名': '李明', '年级': '大二', '专业': '法学', '已修课程': ['法理学', '宪法学', '民法总论'], '学习目标': '提高刑法理解，准备国家司法考试', '学习习惯': '通过案例分析学习，较少参加讨论，习惯阅读教科书', '薄弱点': '刑法条文的具体应用和理解'} 请根据学生画像给出""学习路径规划建议"":和""个性化意见生成"":,以json格式返回"
