evaluator,generator,n,bias,mae,is_own
deepseek-r1,deepseek-r1,447,0.17,0.4295,True
deepseek-r1,deepseek-v3,459,0.459,0.6623,False
deepseek-r1,qwen-max,454,0.2739,0.5088,False
deepseek-r1,qwen2.5-14b-instruct,429,0.4289,0.6542,False
deepseek-r1,qwen2.5-7b-instruct,429,0.3458,0.6985,False
deepseek-v3,deepseek-r1,447,0.2438,0.3527,False
deepseek-v3,deepseek-v3,459,0.5505,0.655,True
deepseek-v3,qwen-max,454,0.3465,0.5007,False
deepseek-v3,qwen2.5-14b-instruct,429,0.5991,0.697,False
deepseek-v3,qwen2.5-7b-instruct,429,0.5602,0.6814,False
