model,question_type,n,human_mean
deepseek-r1,Q&A,88,4.0265
deepseek-r1,design,110,4.8545
deepseek-r1,error_correct,151,4.6071
deepseek-r1,helper,176,4.6686
deepseek-r1,judge,132,4.4091
deepseek-r1,material,154,4.7532
deepseek-r1,mood,110,4.8545
deepseek-r1,question_gen,132,4.6389
deepseek-r1,student_profile,66,4.9545
deepseek-v3,Q&A,88,4.0682
deepseek-v3,design,107,4.1495
deepseek-v3,error_correct,147,4.3696
deepseek-v3,helper,171,4.4172
deepseek-v3,judge,126,4.1878
deepseek-v3,material,154,4.2468
deepseek-v3,mood,109,4.4465
deepseek-v3,question_gen,132,4.3157
deepseek-v3,student_profile,66,3.9394
qwen-max,Q&A,88,4.2197
qwen-max,design,109,4.3486
qwen-max,error_correct,152,4.3750
qwen-max,helper,172,4.4535
qwen-max,judge,127,4.1470
qwen-max,material,154,4.4394
qwen-max,mood,110,4.4182
qwen-max,question_gen,132,4.5556
qwen-max,student_profile,66,4.6061
qwen2.5-14b-instruct,Q&A,88,4.1932
qwen2.5-14b-instruct,design,108,3.8981
qwen2.5-14b-instruct,error_correct,148,4.1914
qwen2.5-14b-instruct,helper,172,4.1453
qwen2.5-14b-instruct,judge,121,4.0689
qwen2.5-14b-instruct,material,154,4.2165
qwen2.5-14b-instruct,mood,110,4.0333
qwen2.5-14b-instruct,question_gen,132,4.3030
qwen2.5-14b-instruct,student_profile,66,3.9949
qwen2.5-7b-instruct,Q&A,88,3.7500
qwen2.5-7b-instruct,design,108,4.0463
qwen2.5-7b-instruct,error_correct,152,4.2697
qwen2.5-7b-instruct,helper,172,4.3295
qwen2.5-7b-instruct,judge,126,3.6905
qwen2.5-7b-instruct,material,154,4.3701
qwen2.5-7b-instruct,mood,110,4.2939
qwen2.5-7b-instruct,question_gen,132,4.1338
qwen2.5-7b-instruct,student_profile,66,4.1010
