task,model,n,human_mean_score,human_score_std,rounded_5_rate
automatic_grading,deepseek-r1,132,4.4091,0.8161,0.6439
automatic_grading,deepseek-v3,126,4.1878,0.7907,0.4048
automatic_grading,qwen-max,127,4.1470,0.8064,0.3937
automatic_grading,qwen2.5-14b-instruct,117,4.0456,0.7952,0.3333
automatic_grading,qwen2.5-7b-instruct,126,3.6905,1.1113,0.2778
error_correction,deepseek-r1,151,4.6071,0.7635,0.8079
error_correction,deepseek-v3,147,4.3696,0.8421,0.5850
error_correction,qwen-max,152,4.3750,0.7950,0.6053
error_correction,qwen2.5-14b-instruct,148,4.1914,0.7980,0.4662
error_correction,qwen2.5-7b-instruct,152,4.2697,0.6890,0.4803
idea_provision,deepseek-r1,176,4.6686,0.6509,0.8466
idea_provision,deepseek-v3,171,4.4172,0.6926,0.5906
idea_provision,qwen-max,172,4.4535,0.6675,0.5756
idea_provision,qwen2.5-14b-instruct,172,4.1453,0.6561,0.3663
idea_provision,qwen2.5-7b-instruct,172,4.3295,0.6715,0.5233
personalized_content_creation,deepseek-r1,66,4.9545,0.1144,1.0000
personalized_content_creation,deepseek-v3,66,3.9394,0.5284,0.1364
personalized_content_creation,qwen-max,66,4.6061,0.4058,0.6970
personalized_content_creation,qwen2.5-14b-instruct,66,3.9949,0.4513,0.0606
personalized_content_creation,qwen2.5-7b-instruct,66,4.1010,0.3714,0.1364
personalized_learning_support,deepseek-r1,110,4.8545,0.2679,0.9273
personalized_learning_support,deepseek-v3,107,4.1495,0.5586,0.2897
personalized_learning_support,qwen-max,109,4.3486,0.4892,0.4495
personalized_learning_support,qwen2.5-14b-instruct,108,3.8981,0.5433,0.1667
personalized_learning_support,qwen2.5-7b-instruct,108,4.0463,0.6975,0.3241
problem_solving,deepseek-r1,88,4.0265,1.4055,0.7045
problem_solving,deepseek-v3,88,4.0682,1.4505,0.6818
problem_solving,qwen-max,88,4.2197,1.3074,0.7386
problem_solving,qwen2.5-14b-instruct,92,4.2174,1.2801,0.7174
problem_solving,qwen2.5-7b-instruct,88,3.7500,1.5128,0.5455
psychological_support,deepseek-r1,110,4.8545,0.3163,0.9273
psychological_support,deepseek-v3,109,4.4465,0.4719,0.5229
psychological_support,qwen-max,110,4.4182,0.5173,0.5182
psychological_support,qwen2.5-14b-instruct,110,4.0333,0.7288,0.3636
psychological_support,qwen2.5-7b-instruct,110,4.2939,0.5627,0.4727
question_generation,deepseek-r1,132,4.6389,0.5932,0.7803
question_generation,deepseek-v3,132,4.3157,0.8075,0.5606
question_generation,qwen-max,132,4.5556,0.5798,0.7197
question_generation,qwen2.5-14b-instruct,132,4.3030,0.6545,0.4394
question_generation,qwen2.5-7b-instruct,132,4.1338,0.7395,0.3939
teaching_material_generation,deepseek-r1,154,4.7532,0.3498,0.8831
teaching_material_generation,deepseek-v3,154,4.2468,0.4524,0.2857
teaching_material_generation,qwen-max,154,4.4394,0.4051,0.4805
teaching_material_generation,qwen2.5-14b-instruct,154,4.2165,0.5061,0.2987
teaching_material_generation,qwen2.5-7b-instruct,154,4.3701,0.4307,0.4091
