task,language,mean,std,count
automatic_grading,en,4.2613,0.8074,324
automatic_grading,zh,3.9276,0.9719,304
error_correction,en,4.2999,0.9246,379
error_correction,zh,4.4277,0.6222,371
idea_provision,en,4.3105,0.8147,424
idea_provision,zh,4.4943,0.5277,439
personalized_content_creation,en,4.4202,0.5217,165
personalized_content_creation,zh,4.2182,0.5863,165
personalized_learning_support,en,4.4727,0.482,275
personalized_learning_support,zh,4.0449,0.6813,267
problem_solving,en,4.0863,1.3755,224
problem_solving,zh,4.0288,1.4372,220
psychological_support,en,4.7127,0.375,275
psychological_support,zh,4.1046,0.628,274
question_generation,en,4.3192,0.786,330
question_generation,zh,4.4596,0.6072,330
teaching_material_generation,en,4.484,0.46,385
teaching_material_generation,zh,4.3264,0.4732,385
