task,model,mean,std,count
automatic_grading,deepseek-r1,4.4091,0.8192,132
automatic_grading,deepseek-v3,4.1878,0.7939,126
automatic_grading,qwen-max,4.147,0.8096,127
automatic_grading,qwen2.5-14b-instruct,4.0456,0.7986,117
automatic_grading,qwen2.5-7b-instruct,3.6905,1.1157,126
error_correction,deepseek-r1,4.6071,0.766,151
error_correction,deepseek-v3,4.3696,0.845,147
error_correction,qwen-max,4.375,0.7976,152
error_correction,qwen2.5-14b-instruct,4.1914,0.8007,148
error_correction,qwen2.5-7b-instruct,4.2697,0.6913,152
idea_provision,deepseek-r1,4.6686,0.6527,176
idea_provision,deepseek-v3,4.4172,0.6946,171
idea_provision,qwen-max,4.4535,0.6694,172
idea_provision,qwen2.5-14b-instruct,4.1453,0.658,172
idea_provision,qwen2.5-7b-instruct,4.3295,0.6734,172
personalized_content_creation,deepseek-r1,4.9545,0.1153,66
personalized_content_creation,deepseek-v3,3.9394,0.5324,66
personalized_content_creation,qwen-max,4.6061,0.4089,66
personalized_content_creation,qwen2.5-14b-instruct,3.9949,0.4548,66
personalized_content_creation,qwen2.5-7b-instruct,4.101,0.3743,66
personalized_learning_support,deepseek-r1,4.8545,0.2691,110
personalized_learning_support,deepseek-v3,4.1495,0.5612,107
personalized_learning_support,qwen-max,4.3486,0.4915,109
personalized_learning_support,qwen2.5-14b-instruct,3.8981,0.5458,108
personalized_learning_support,qwen2.5-7b-instruct,4.0463,0.7008,108
problem_solving,deepseek-r1,4.0265,1.4135,88
problem_solving,deepseek-v3,4.0682,1.4588,88
problem_solving,qwen-max,4.2197,1.3149,88
problem_solving,qwen2.5-14b-instruct,4.2174,1.2871,92
problem_solving,qwen2.5-7b-instruct,3.75,1.5215,88
psychological_support,deepseek-r1,4.8545,0.3178,110
psychological_support,deepseek-v3,4.4465,0.4741,109
psychological_support,qwen-max,4.4182,0.5196,110
psychological_support,qwen2.5-14b-instruct,4.0333,0.7322,110
psychological_support,qwen2.5-7b-instruct,4.2939,0.5653,110
question_generation,deepseek-r1,4.6389,0.5955,132
question_generation,deepseek-v3,4.3157,0.8106,132
question_generation,qwen-max,4.5556,0.582,132
question_generation,qwen2.5-14b-instruct,4.303,0.657,132
question_generation,qwen2.5-7b-instruct,4.1338,0.7423,132
teaching_material_generation,deepseek-r1,4.7532,0.351,154
teaching_material_generation,deepseek-v3,4.2468,0.4538,154
teaching_material_generation,qwen-max,4.4394,0.4064,154
teaching_material_generation,qwen2.5-14b-instruct,4.2165,0.5078,154
teaching_material_generation,qwen2.5-7b-instruct,4.3701,0.4321,154
